pincode,state,latitude,longitude
403004,Goa,15.45890999,73.81367493
403006,Goa,15.49673939,73.86820984
403103,Goa,15.32008362,74.02975464
403107,Goa,15.51430321,73.96469116
403108,Goa,15.50233269,73.91174316
403110,Goa,15.49612141,73.93192291
403203,Goa,15.44256115,73.89505005
403401,Goa,15.40372658,74.00182343
403402,Goa,15.48573589,73.91117859
403404,Goa,15.41683388,73.97618103
403406,Goa,15.41853714,74.08099365
403501,Goa,15.54022121,73.8169632
403502,Goa,15.6216526,73.85328674
403503,Goa,15.64167213,73.89065552
403505,Goa,15.55918407,74.01031494
403506,Goa,15.54618549,74.01142883
403507,Goa,15.59554768,73.81260681
403508,Goa,15.58921909,73.87430573
403509,Goa,15.59715557,73.74331665
403510,Goa,15.57273388,73.80072784
403511,Goa,15.51885891,73.80105591
403512,Goa,15.64849663,73.74690247
403513,Goa,15.65439129,73.84429932
403515,Goa,15.51364231,73.77828217
403516,Goa,15.54750729,73.76228333
403517,Goa,15.62162971,73.77439117
403518,Goa,15.57431221,73.76258087
403519,Goa,15.64344215,73.74202728
403521,Goa,15.52069855,73.82833099
403523,Goa,15.55021191,73.88365173
403527,Goa,15.66043854,73.71524048
403529,Goa,15.57815742,73.96974945
403601,Goa,15.27668476,73.96395111
403602,Goa,15.28866673,73.97097778
403603,Goa,15.15650272,74.01426697
403604,Goa,15.31248856,73.94459534
403701,Goa,15.31718731,73.93048859
403702,Goa,15.00811672,74.03591156
403704,Goa,15.22760868,74.15005493
403705,Goa,15.21541119,74.10684967
403706,Goa,15.26185989,74.10811615
403707,Goa,15.19783592,73.9794693
403708,Goa,15.2791729,73.92932129
403709,Goa,15.29136848,74.01947021
403711,Goa,15.39264297,73.84086609
403712,Goa,15.33971119,73.89919281
403713,Goa,15.30794811,73.91133881
403714,Goa,15.25801373,74.04160309
403716,Goa,15.24841213,73.9376297
403721,Goa,15.21672726,73.93717194
403722,Goa,15.3616066,73.92623138
403723,Goa,15.17448711,73.97425842
403724,Goa,15.22442532,73.94792938
403726,Goa,15.38395977,73.87406921
403728,Goa,14.95915318,74.05339813
403801,Goa,15.39174557,73.83974457
403802,Goa,15.39712524,73.81443787
403803,Goa,15.40087795,73.81126404
410208,Maharashtra,19.06884956,73.11212158
410209,Maharashtra,19.01738739,73.09506989
410401,Maharashtra,18.74027634,73.43347168
410505,Maharashtra,18.88082123,74.03912354
410506,Maharashtra,18.60565948,73.68746948
410507,Maharashtra,18.73361015,73.67536163
410515,Maharashtra,19.0657444,73.91439056
411006,Maharashtra,18.60240746,74.02310181
411013,Maharashtra,18.51272011,73.92138672
411017,Maharashtra,18.61489868,73.796875
411025,Maharashtra,18.39934158,73.73336029
411028,Maharashtra,18.51965714,73.92418671
411030,Maharashtra,18.50258255,73.84484863
411032,Maharashtra,18.58317757,73.90077972
411038,Maharashtra,18.51247215,73.81682587
411041,Maharashtra,18.44940758,73.8225708
412106,Maharashtra,18.75201797,73.6306076
412201,Maharashtra,18.48793602,74.05415344
412207,Maharashtra,18.58075333,74.01789856
412208,Maharashtra,18.68770599,74.1353302
412214,Maharashtra,18.47547722,74.2432251
412303,Maharashtra,18.28985977,74.15145111
412402,Maharashtra,18.98503304,73.74620056
412403,Maharashtra,18.78548622,74.03170013
412404,Maharashtra,18.89907646,73.81890106
412803,Maharashtra,17.9531498,73.88303375
413003,Maharashtra,17.66417313,75.89907837
413004,Maharashtra,17.64342499,75.90438843
413006,Maharashtra,17.65511322,75.94927979
413106,Maharashtra,18.11965942,75.02535248
413111,Maharashtra,17.86866188,74.82522583
413117,Maharashtra,18.08763313,74.76568604
